Time(s),Torque,signal_0,signal_1,signal_2
0.0,0.0024420025,-3.1,1.0,18.400000000000002
0.0,-0.0073260074,1.7000000000000002,1.0,18.400000000000002
0.01,-0.0024420025,-1.0,1.2000000000000002,19.1
0.01,0.0073260074,-1.0,1.2000000000000002,19.1
0.01,0.021978023,-1.0,1.2000000000000002,19.1
0.01,0.03663004,-1.0,1.3,19.3
0.01,0.06105006,-1.0,1.3,19.3
0.02,0.105006106,-1.0,1.3,19.3
0.02,0.13919415,-1.0,1.3,19.3
0.02,0.16849817,-1.0,1.3,19.3
0.02,0.2026862,-1.0,1.3,19.3
0.02,0.22222222,-1.0,1.3,19.5
0.02,0.24175824,-1.0,1.3,19.5
0.03,0.25641027,-1.0,1.3,19.5
0.03,0.2759463,-1.0,1.3,19.5
0.03,0.2954823,-1.0,1.3,19.5
0.03,0.30525032,-1.0,1.3,19.5
0.03,0.32478634,-1.0,1.3,19.5
0.03,0.33455434,-1.0,1.3,19.5
0.03,0.33455434,-1.0,1.3,19.5
0.04,0.33943835,-0.9,1.3,19.700000000000003
0.04,0.35897437,-0.9,1.3,19.700000000000003
0.04,0.36385837,-0.9,1.3,19.700000000000003
0.04,0.36874238,-0.9,1.3,19.700000000000003
0.04,0.36874238,-0.9,1.3,19.700000000000003
0.04,0.37362638,-0.9,1.3,19.700000000000003
0.04,0.37362638,-0.9,1.3,19.700000000000003
0.05,0.37362638,-0.9,1.3,19.700000000000003
0.05,0.37362638,-0.9,1.3,19.700000000000003
0.05,0.36874238,-0.9,1.3,19.700000000000003
0.05,0.37362638,-0.5,1.4000000000000001,19.900000000000002
0.05,0.35897437,-0.5,1.4000000000000001,19.900000000000002
0.05,0.36385837,-0.5,1.4000000000000001,19.900000000000002
0.05,0.35409036,-0.5,1.4000000000000001,19.900000000000002
0.05,0.34432235,-0.5,1.4000000000000001,19.900000000000002
0.05,0.34920636,-0.5,1.4000000000000001,19.900000000000002
0.06,0.34920636,-0.5,1.4000000000000001,19.900000000000002
0.06,0.32478634,-0.5,1.4000000000000001,19.900000000000002
0.06,0.31501833,-0.5,1.4000000000000001,19.900000000000002
0.06,0.30525032,-0.5,1.4000000000000001,19.900000000000002
0.06,0.3003663,-0.5,1.4000000000000001,19.900000000000002
0.06,0.2857143,-0.2,1.5,20.1
0.06,0.2759463,-0.2,1.5,20.1
0.06,0.27106228,-0.2,1.5,20.1
0.07,0.25152627,-0.2,1.5,20.1
0.07,0.24664225,-0.2,1.5,20.1
0.07,0.23687424,-0.2,1.5,20.1
0.07,0.23199023,-0.2,1.5,20.1
0.07,0.22222222,-0.2,1.5,20.1
0.07,0.1978022,-0.2,1.5,20.1
0.07,0.1929182,-0.2,1.5,20.1
0.07,0.18315019,-0.2,1.5,20.1
0.07,0.17338218,-0.2,1.5,20.1
0.07,0.16361417,0.1,1.6,20.3
0.08,0.14896215,0.1,1.6,20.3
0.08,0.13919415,0.1,1.6,20.3
0.08,0.12942614,0.1,1.6,20.3
0.08,0.124542125,0.1,1.6,20.3
0.08,0.105006106,0.1,1.6,20.3
0.08,0.1001221,0.1,1.6,20.3
0.08,0.09035409,0.1,1.6,20.3
0.08,0.08547009,0.1,1.6,20.3
0.09,0.07570208,0.1,1.6,20.3
0.09,0.06593407,0.30000000000000004,1.7000000000000002,20.400000000000002
0.09,0.06105006,0.30000000000000004,1.7000000000000002,20.400000000000002
0.09,0.046398047,0.30000000000000004,1.7000000000000002,20.400000000000002
0.09,0.046398047,0.30000000000000004,1.7000000000000002,20.400000000000002
0.09,0.041514043,0.30000000000000004,1.7000000000000002,20.400000000000002
0.09,0.031746034,0.30000000000000004,1.7000000000000002,20.400000000000002
0.09,0.021978023,0.30000000000000004,1.7000000000000002,20.400000000000002
0.1,0.021978023,0.30000000000000004,1.7000000000000002,20.400000000000002
0.1,0.017094018,0.30000000000000004,1.7000000000000002,20.400000000000002
0.1,0.0073260074,0.30000000000000004,1.7000000000000002,20.400000000000002
0.1,0.0024420025,0.30000000000000004,1.7000000000000002,20.400000000000002
0.1,0.0024420025,0.4,1.8,20.5
0.1,0.0024420025,0.4,1.8,20.5
0.1,0.0073260074,0.4,1.8,20.5
0.11,0.0024420025,0.4,1.8,20.5
0.11,-0.0024420025,0.4,1.8,20.5
0.11,-0.0024420025,0.4,1.8,20.5
0.11,0.0024420025,0.4,1.8,20.5
0.11,0.0024420025,0.4,1.8,20.5
0.11,-0.0024420025,0.4,1.8,20.5
0.11,0.0073260074,0.4,1.8,20.5
0.11,0.0073260074,0.2,1.7000000000000002,20.5
0.12,0.0073260074,0.2,1.7000000000000002,20.5
0.12,0.0073260074,0.2,1.7000000000000002,20.5
0.12,0.012210012,0.2,1.7000000000000002,20.5
0.12,0.017094018,0.2,1.7000000000000002,20.5
0.12,0.017094018,0.2,1.7000000000000002,20.5
0.12,0.021978023,0.2,1.7000000000000002,20.5
0.12,0.031746034,0.2,1.7000000000000002,20.5
0.13,0.03663004,0.2,1.7000000000000002,20.5
0.13,0.046398047,0.1,1.7000000000000002,20.6
0.13,0.051282052,0.1,1.7000000000000002,20.6
0.13,0.056166057,0.1,1.7000000000000002,20.6
0.13,0.06593407,0.1,1.7000000000000002,20.6
0.13,0.070818074,0.1,1.7000000000000002,20.6
0.13,0.070818074,0.1,1.7000000000000002,20.6
0.13,0.07570208,0.1,1.7000000000000002,20.6
0.14,0.08547009,0.1,1.7000000000000002,20.6
0.14,0.0952381,0.1,1.7000000000000002,20.6
0.14,0.1001221,0.1,1.7000000000000002,20.6
0.14,0.1001221,0.1,1.7000000000000002,20.6
0.14,0.1001221,0.1,1.7000000000000002,20.6
0.14,0.114774115,0.1,1.7000000000000002,20.6
0.14,0.11965812,0.1,1.7000000000000002,20.6
0.14,0.11965812,0.1,1.7000000000000002,20.6
0.15,0.12942614,0.1,1.7000000000000002,20.6
0.15,0.13919415,0.1,1.7000000000000002,20.6
0.15,0.13431014,0.1,1.7000000000000002,20.6
0.15,0.14407815,0.1,1.7000000000000002,20.6
0.15,0.14896215,0.1,1.7000000000000002,20.6
0.15,0.14896215,0.1,1.7000000000000002,20.6
0.15,0.15384616,-0.1,1.6,20.6
0.15,0.16361417,-0.1,1.6,20.6
0.16,0.15873016,-0.1,1.6,20.6
0.16,0.16361417,-0.1,1.6,20.6
0.16,0.16849817,-0.1,1.6,20.6
0.16,0.16361417,-0.1,1.6,20.6
0.16,0.17338218,-0.1,1.6,20.6
0.16,0.17826618,-0.1,1.6,20.6
0.16,0.16849817,-0.1,1.6,20.6
0.16,0.17338218,-0.1,1.6,20.6
0.17,0.16849817,-0.2,1.6,20.6
0.17,0.16849817,-0.2,1.6,20.6
0.17,0.16849817,-0.2,1.6,20.6
0.17,0.16849817,-0.2,1.6,20.6
0.17,0.16849817,-0.2,1.6,20.6
0.17,0.16361417,-0.2,1.6,20.6
0.17,0.15873016,-0.2,1.6,20.6
0.18,0.15873016,-0.2,1.6,20.6
0.18,0.15384616,-0.2,1.6,20.6
0.18,0.14896215,-0.2,1.6,20.700000000000003
0.18,0.13919415,-0.2,1.6,20.700000000000003
